Jp,attractor_robustness,collapse_time,competitor_suppression,cue_gain,cue_rate,cue_response,decay_index,delay_gain,delay_minus_competitor,delay_minus_ns,distractor_drop,distractor_rate,distractor_recovery,frac_above_thr,gaba_scale,inhibitory_balance,lambda_delay,lambda_valid,linear_delay_slope,nmda_scale,peak_diff,peak_diff_time,persistent,r1_base,r1_cue,r1_cue_peak,r1_delay,r1_delay_early,r1_delay_late,r1_delay_mean,r1_delay_min,r1_delay_std,r1_during_distr,r1_post_distr,r1_pre_distr,r2_delay,r2_delay_late,r2_delay_mean,r2_delay_min,r2_delay_std,r3_delay,regime,ri_delay,seed,selective_frac,snr_delay,survives_distractor
1.88,22.157803545248573,,8.751037680166029,31.629941298019116,200,True,0.9936510816091375,15.519173777905019,28.570377404593728,24.85804527395392,,0,,1.0,0.4,0.5140984565822357,2.36925988961819,True,-7.229186623018299,0.8,32.40370518459284,0.2362200000000001,True,1.9247467679594825,60.87962731574039,72.55431160868989,29.87047958594341,28.657120102035847,28.475178386184528,29.260095961615363,23.1574037051846,2.4403844149879674,,,,1.3001021813496823,1.0185345050532424,1.2489623198339712,0.666400106624017,0.2969757849377298,5.012434311989491,persistent,15.356367453018787,42,1.0,22.975486074454793,1.0
1.88,22.740903638544587,,8.854748576759771,33.02973199429908,200,True,0.9295065421290558,15.90603203976777,28.32178239815186,24.106599820389313,,0,,1.0,0.4,0.5259135894077783,0.3026814476125651,True,-7.513404910975426,0.8,35.569105691056926,2.0000000000020002e-05,True,1.8544415567106491,61.25170765027325,71.72131147540986,29.496806832822436,31.8374949560268,29.59315984755723,29.358185297309653,23.65720378515261,2.8332534906562015,,,,1.1750244346705763,1.3605742878158695,1.1452514232402276,0.4998000799680128,0.37825817688427865,5.390207012433123,persistent,15.512771558043443,123,1.0,25.10314333675015,1.0
1.88,23.990403838464623,,8.781330325012851,36.317737489101205,200,True,0.8099401112106356,20.989912826298404,31.4146674663468,26.89312925623402,,0,,1.0,0.4,0.48918664114366733,0.9467590858951873,True,-31.184138364887822,0.8,39.56750633080103,0.011120000000000019,True,1.5552612288417966,56.48356907237107,69.0557110489138,32.64479763650096,35.71641729231124,28.92815899458997,32.03921288627407,25.239904038384655,3.6651492229563423,,,,1.2301301701541607,1.2548751107920162,1.218669674987148,0.666400106624017,0.32913025080213737,5.751668380266942,persistent,15.96939890710382,7,1.0,26.537677395451748,1.0
1.88,22.990803678528593,,8.911944745911159,23.59801354719661,200,True,0.7972986280402413,12.313340793611564,29.898079657026088,25.517239136091604,,0,,1.0,0.4,0.5048721466487115,1.0211290776375341,True,-29.515478061459287,0.8,35.48580567772892,0.031179999999999986,True,2.514377582300413,59.33431627349062,71.80461148873788,30.960388066995435,33.9368185272715,27.057778852641505,30.529288284686142,24.157003865120622,3.492229443740118,,,,1.0623084099693456,0.9425972312048384,1.0880552540888406,0.3332000533120085,0.3387164369844111,5.44314893090383,persistent,15.631037584966009,2024,1.0,29.144444068502096,1.0
1.88,26.57270425163269,,8.750004760000762,25.2000300244988,200,True,0.9920181872378686,13.915731848563134,31.938552356835057,28.014081668919744,,0,,1.0,0.4,0.4658997095117793,0.43472602404571836,True,-0.5843808641404272,0.8,37.651606024256985,0.08911999999999998,True,2.3851459416233505,60.10574936691993,71.13821138211385,33.1910513572349,32.821721008324,32.55974417769666,33.13478418156548,27.572304411568716,2.4812528262325024,,,,1.2524990003998402,1.360041238803772,1.2499952399992384,0.666400106624017,0.252846078240026,5.176969688315152,persistent,15.463701186192184,99,1.0,26.499862530939605,1.0
1.88,19.65880314540851,,8.971249595399934,20.816965676357082,200,True,0.8449485413560308,10.21108817068372,28.34293504820295,24.548006987681124,,0,,1.0,0.4,0.5124417996319249,2.2938919121926085,True,-24.939227529813543,0.8,32.986805277888855,0.13696000000000008,True,2.8730840996934557,59.808893109422925,69.63881114220982,29.33731507397042,29.937335203890857,25.29550771345908,28.47229203556673,20.825003332000538,3.6289467495856655,,,,0.9943800257674709,1.0652651351137987,1.0287504046000648,0.3332000533120085,0.35986098829953345,4.789308086289295,persistent,15.033666533386642,1,1.0,29.503121828925025,1.0
1.88,25.073304011728645,,8.873769539803124,23.67719553369003,200,True,0.8705456762443147,12.842546298207289,31.83668754720335,27.90585908493746,,0,,1.0,0.4,0.4650028676448032,1.143612905922248,True,-18.205062169878087,0.8,37.56830601092898,0.09236,True,2.562691590030654,60.677349893376,70.13861122217783,32.911485405837674,34.035659214951636,29.629595968571653,32.46639439462311,26.156204184992674,3.0365139366333453,,,,1.0747978586343239,1.2531427015026992,1.1262304601968736,0.3332000533120085,0.29068030727507593,5.0056263209002125,persistent,15.30393509262961,54,1.0,30.621093176567243,1.0
1.88,24.990003998400645,,9.07339445174311,14.193951370337988,200,True,0.9373785178588889,6.679238057237814,28.127543427073622,24.09007825441253,,0,,1.0,0.4,0.5162915531938488,0.24875804906075363,True,-6.596906579034432,0.8,31.90390510462483,0.01094000000000006,True,4.351176196188191,61.76038334666136,71.38811142209786,29.062541650006672,30.111647269373275,28.226011288592158,28.958407113345146,25.90630414500867,1.5018763786318245,,,,0.934998222933049,1.0776029987063078,0.9266055482568878,0.41650006664001066,0.26781784945609266,4.9724633955941435,persistent,15.004744768759158,65,1.0,31.08299128928368,1.0
1.88,16.909902705584436,,8.884422421507585,16.272238807606332,200,True,0.9693334157710551,7.528620653776224,27.012472788662322,22.83437458349994,,0,,1.0,0.4,0.5453618289604674,-0.3035514179010087,True,2.3455456051632075,0.8,35.81900573104094,0.01972000000000007,True,3.732407037185126,60.73461865253901,68.8058110089298,28.099876715980283,31.511124137960643,30.54478559640447,28.89590830334534,18.076102892176465,4.378554372606359,,,,1.0874039273179619,1.2331089427980306,1.1155775784924127,0.41650006664001066,0.2791418539662118,5.265502132480342,persistent,15.324600159936022,37,1.0,25.841249957084713,1.0
1.88,25.90630414500867,,9.036033205765312,30.138544810071025,200,True,0.8945256126491762,15.952120608572077,30.185464703007693,25.71527222444356,,0,,1.0,0.4,0.49950504299748966,0.6224778940748189,True,-14.338845830956174,0.8,35.90230574436893,0.10754000000000008,True,1.950303212048514,58.779300779688135,70.88831134212984,31.11147207783554,32.46188693755319,29.03798930145758,30.79920888787343,26.9059043049447,2.3305749526873534,,,,0.9260073748278466,1.1120290807376112,0.9639667942346872,0.5831000932960149,0.1923941317921887,5.396199853391979,persistent,15.540337198453946,43,1.0,33.59743441570541,1.0
1.88,23.90710382513662,,8.94523143123703,27.81439872847079,200,True,1.1829098516735743,14.385004456901543,29.28991181305257,25.075903765477946,,0,,1.0,0.4,0.5076449864684089,1.0805041655895546,True,19.095037336071336,0.8,37.56830601092898,0.21242000000000005,True,2.102525656404105,58.480486971877944,67.97281087564977,30.244840952507897,27.899474749858783,33.002563539308994,30.448777631804433,24.906703985072646,3.077847241265186,,,,0.9549291394553289,1.2664800319928908,1.0547685687629709,0.4998000799680128,0.3374827750385441,5.168937187029951,persistent,15.353641876582696,59,1.0,31.672340565590623,1.0
1.88,27.322404371584707,,8.904481064716972,20.933318913093146,200,True,1.1104719228925528,11.847990662519084,32.691240170598434,28.495790175993104,,0,,1.0,0.4,0.46117635376111626,3.5336028611867647,True,12.402443303425922,0.8,41.15020658403307,0.2517400000000001,True,2.8512428361988533,59.68597560975612,71.30481140876985,33.78149851170644,32.04262186347217,35.58243191635936,33.4365967898555,27.90550446488072,3.5252828158166936,,,,1.0902583411080011,1.4590106720498932,1.0955189352830295,0.4998000799680128,0.439157982378975,5.285708335713335,persistent,15.579228308676525,67,1.0,30.984856714226392,1.0
1.88,22.82420365187259,,9.071181051388969,31.790035202090984,200,True,0.9469882968559941,15.668289474652367,29.331706206406338,25.31251785000287,,0,,1.0,0.4,0.5049802218945583,0.3742709135686685,True,-6.3807861413724964,0.8,36.23550579768094,0.17144000000000004,True,1.930027988804478,61.35565773690526,71.22151139544185,30.24023723843797,29.76388928531767,28.18605482306034,30.092967574874816,23.1574037051846,2.858704407960723,,,,0.9085310320316319,0.757262752811154,0.9288189486110319,0.2499000399840064,0.28608587053015744,4.9277193884351025,persistent,15.27072171131547,93,1.0,33.28475983647012,1.0
1.88,22.82420365187259,,9.071181051388969,31.790035202090984,200,True,0.9469882968559941,15.668289474652367,29.331706206406338,25.31251785000287,,0,,1.0,0.4,0.5049802218945583,0.3742709135686685,True,-6.3807861413724964,0.8,36.23550579768094,0.17144000000000004,True,1.930027988804478,61.35565773690526,71.22151139544185,30.24023723843797,29.76388928531767,28.18605482306034,30.092967574874816,23.1574037051846,2.858704407960723,,,,0.9085310320316319,0.757262752811154,0.9288189486110319,0.2499000399840064,0.28608587053015744,4.9277193884351025,persistent,15.27072171131547,93,1.0,33.28475983647012,1.0
1.88,24.323603891776628,,9.099288855886217,23.346527805302195,200,True,0.9980004726749767,12.2693977653597,29.894769869829855,25.869303865755292,,0,,1.0,0.4,0.4921836768368018,-0.042121435226768957,True,1.5434796487509823,0.8,36.652005864320955,0.0020400000000000418,True,2.514460882313741,58.703930927628974,68.55591096894578,30.850920742813994,32.05757955432772,31.993479549032728,31.16344890615184,24.990003998400645,2.3006251670255353,,,,0.9561508729841396,1.0245646220025963,0.900711144113783,0.41650006664001066,0.34720255656154636,4.981616877058701,persistent,15.184319605491131,17,1.0,32.26574548247052,1.0
1.88,22.82420365187259,,9.319872051179527,29.477946299366142,200,True,0.8706113007172347,14.800539688495494,28.270380736594262,24.080316286183947,,0,,1.0,0.4,0.5145196361804553,0.5433318412221523,True,-14.650233267669023,0.8,35.069305611088915,2.0000000000020002e-05,True,1.95505131280821,57.630897640943644,69.80541116886582,28.935814563063673,31.079899573863724,27.058511795033137,28.968917195026762,23.740503798480617,2.9456918841484847,,,,0.6654338264694122,0.7931991403767337,0.6801279488204718,0.41650006664001066,0.16290177137394668,4.855498276879726,persistent,14.88804478208716,19,1.0,43.48413526421417,1.0
1.88,24.990003998400645,,9.052793168446907,42.067112637615075,200,True,0.857521804350723,21.86211849615452,30.260012661602037,26.109217424141463,,0,,1.0,0.4,0.4959886928819904,0.7053410293001257,True,-16.53166642649896,0.8,37.23510595761697,0.07464000000000004,True,1.4300446488071437,60.15784936025592,72.80421164867388,31.26380558887557,33.576584696388736,28.79265349363966,31.060380609660907,25.656404105024663,2.950492966739825,,,,1.0037929272735349,0.8181524972555526,0.9472068315530929,0.41650006664001066,0.27111300672616145,5.154588164734108,persistent,15.506494069039048,23,1.0,31.145672287856705,1.0
1.88,25.98960415833667,,8.989889758382361,38.936212590134794,200,True,0.997345310035425,21.586880536932423,32.03983406637346,27.74540104593084,,0,,1.0,0.4,0.4690356137933687,2.2746226607646762,True,-6.976012444632193,0.8,37.318405970944966,0.21326,True,1.5318872451019592,59.645887478342026,70.72171131547384,33.06866697765339,31.713685918020992,31.629495915272084,32.37382189981152,26.572704251632686,2.6982921423422663,,,,1.0288329112799324,1.0114938160184532,1.0101102416176384,0.2499000399840064,0.3004371206731612,5.323265931722551,persistent,15.510382513661197,29,1.0,32.1419217668416,1.0
1.88,24.990003998400645,,8.84355781496925,25.394284259480838,200,True,1.0257113543252017,12.356894107798812,28.802156915011786,24.6633378394674,,0,,1.0,0.4,0.5118162526271658,-0.11677605852904947,True,4.779322147977389,0.8,34.236305477808884,0.3314600000000001,True,2.422314407570305,61.51294065707054,72.47101159536189,29.932282642498567,30.045853417614502,30.81837300186357,30.39218122274901,26.406104224976684,1.9480610876177615,,,,1.130125727486783,1.2314653750107298,1.1564421850307496,0.4998000799680128,0.22939858094501267,5.268944803031169,persistent,15.319828735172594,31,1.0,26.48579878150135,1.0
1.88,21.57470345195256,,9.224586355933818,31.003095236445606,200,True,1.0083568689428672,15.1555834763374,28.923880447820885,24.64189482936985,,0,,1.0,0.4,0.5153777681314692,-0.17694635770702904,True,3.8043191290908704,0.8,33.56990537118487,0.0014000000000000679,True,1.9618985739037718,60.824928361988555,69.6388111422098,29.733717624061498,31.222330770417962,31.483251697765553,29.827616572418663,22.07450353192057,2.9645840739252676,,,,0.8098371762406149,0.7805947522781761,0.775413644066183,0.2499000399840064,0.305572711558322,5.091822794691649,persistent,15.324097027855522,47,1.0,36.71567379182836,1.0
1.88,35.40250566440092,,9.041364406618307,17.501306642016743,200,True,1.047992601412862,10.88952972409825,44.58482718023904,34.30790540926488,,0,,1.0,0.3,0.6634077314275681,1.1959755759742488,True,-3.3607537945913424,0.9,51.89590830334535,0.11582000000000003,True,4.188441290150606,73.30319538851128,81.21751299480212,45.610155937624974,41.69826104084796,43.69946906363884,44.70925439348073,36.40210582433694,4.535837576805753,,,,1.0253287573859344,0.7512437410495518,0.958635593381695,0.3332000533120085,0.3224227463844021,11.302250528360089,persistent,30.258130081300816,42,1.0,44.48344549452038,1.0
1.88,38.068106090897,,9.031996725119475,19.44875120202663,200,True,0.9763398667630603,12.16959047852537,43.10093184948245,32.47791875313368,,0,,1.0,0.3,0.6920666940991775,0.06442778530079896,True,-3.6210345228004757,0.9,48.23070771691325,0.06172,True,3.6220511795281882,70.44437225109958,77.55231240837003,44.078879559287415,45.47517792189931,44.39922915426997,44.14651758344282,39.234306277489026,2.041118459171316,,,,0.9779477098049669,1.0416110852019678,0.9680032748805241,0.5831000932960149,0.1923162223465146,11.600960806153733,persistent,30.505524456883915,123,1.0,45.07283883614316,1.0
1.88,39.65080634412903,,9.04241636678662,20.776702969311533,200,True,0.9210198637900557,13.778843432183253,45.08763161402108,33.98913212492782,,0,,1.0,0.3,0.6705667685296143,0.27635607589509265,True,-17.11318787229863,0.9,51.97920831667336,0.02294000000000007,True,3.3403638544582166,69.40174763427964,79.63481274157007,46.02635057088278,47.948610331245774,44.16162255712746,45.84972677595629,40.73370651739306,2.5449729350108705,,,,0.9387189568616998,0.9524808483041479,0.9575836332133814,0.4998000799680128,0.2368004254111665,12.037218445954956,persistent,30.863741170198594,7,1.0,49.03102274159438,1.0
