Jp,attractor_robustness,collapse_time,competitor_suppression,cue_gain,cue_rate,cue_response,decay_index,delay_gain,delay_minus_competitor,delay_minus_ns,distractor_drop,distractor_recovery,frac_above_thr,gaba_scale,inhibitory_balance,lambda_delay,lambda_valid,linear_delay_slope,nmda_scale,peak_diff,peak_diff_time,persistent,r1_base,r1_cue,r1_cue_peak,r1_delay,r1_delay_early,r1_delay_late,r1_delay_mean,r1_delay_min,r1_delay_std,r1_during_distr,r1_post_distr,r1_pre_distr,r2_delay,r2_delay_late,r2_delay_mean,r2_delay_min,r2_delay_std,r3_delay,regime,ri_delay,selective_frac,snr_delay,survives_distractor
1.78,14.910702385712383,,7.074527331924373,79.01488786065117,200,True,0.7987444399203135,50.007595607223344,22.581106446310375,24.36122376446248,19.1251647879094,-8.419822772621956,1.0,1.0,0.21744224619321106,1.6060498433834058,True,-29.17310583605316,1.1,33.40330534452887,0.0,True,0.5125116620018658,40.49605157936827,72.05451152872189,25.629475987382836,27.36746066753597,21.85960704373097,24.7225443156071,16.74330267892843,3.752591828078996,25.62922234612589,17.209399573503934,44.75438713403529,3.0483695410724594,3.550572838455606,2.9254726680756264,0.9163001466080234,1.1778519545080346,1.2682522229203557,persistent,5.572930827668932,1.0,8.40760138613589,1.0
1.8,22.657603625216584,,7.467922354867576,83.54613635561977,200,True,0.9634601810299575,63.787102844077886,29.36964658581013,30.72950819672132,15.89300492203774,-7.894435657286095,1.0,1.0,0.18124411970000937,0.4036847923385531,True,-12.556438941825201,1.1,35.40250566440092,0.019280000000000075,True,0.5030154604824737,42.02499833399975,74.80341196854594,32.085898973743845,31.53239470725075,30.38020671391934,31.30099388815903,23.65720378515261,3.0146830134713167,32.085692487887194,24.191256830601098,47.97869740992493,2.7162523879337153,2.7336197014772723,2.5320776451324227,0.8330001332800212,0.9149671668484799,1.356390777022524,persistent,5.81538051446088,1.0,11.812561713508293,1.0
1.82,26.90590430494469,,8.113792578206812,92.78942345850108,200,True,0.9575884933222788,72.7767373913156,35.29224421342576,36.01224272195885,14.650682784015927,-8.135686001803094,1.0,1.0,0.1580792564406297,0.44616928408662504,True,-12.900828221640479,1.1,42.4830067972811,0.000180000000000069,True,0.5124950019992002,47.55411585365856,76.05291216846598,37.297714247634296,37.371957169275206,35.78695615918856,36.49636811941891,27.48900439824071,3.3231987288509943,37.29760456771007,29.161918565906973,51.948287351725995,2.0054700342085385,2.1921196415003745,1.8862074217931875,0.4998000799680128,0.6966540798631006,1.285471525675444,persistent,5.895994935359188,1.0,18.59799129023431,1.0
1.84,34.31960549113689,,8.250052360008377,98.1706218445036,200,True,1.047661239416971,86.68212363939566,41.67556866142434,42.20188829230215,12.246242628355112,-6.900270988420409,1.0,1.0,0.13925449556810462,0.5521258172161734,True,1.864754223352749,1.1,49.147007863521274,0.21375999999999995,True,0.5029821404771424,49.378069605491156,79.88471278155407,43.59956017592965,41.67007795295534,43.65612551584265,43.21383827421414,35.98560575769693,3.1462919352700323,43.599441320287674,36.699170331867265,55.84568394864279,1.9239915145053086,1.7985295771928085,1.7499476399916223,0.2499000399840064,0.6623671732556696,1.3976718836275013,persistent,6.071434759429561,1.0,22.660993993249942,1.0
1.85,37.65160602425698,,8.221306715409074,105.62308171846821,200,True,1.0568520888124622,88.13311642966731,43.25168266026924,43.80608986564106,12.465387144699939,-7.036961915675924,1.0,1.0,0.13510343880942094,1.073707929663738,True,3.7231726626303234,1.1,51.14620818339333,0.19556000000000007,True,0.512461681993869,54.12778222044518,81.55071304811412,45.16484517304191,42.82881595079093,45.26372360001474,44.77183888349424,37.98480607756898,3.2411622900373476,45.16476079612376,38.127798880447834,57.6301479408237,1.9131625127726686,2.042543867668237,1.7786932845909253,0.3332000533120085,0.7192944215423996,1.358755307400849,persistent,6.101925896308142,1.0,23.60742741293781,1.0
1.86,38.484606157537,,8.596132975381275,103.65476761321635,200,True,1.0286251059314715,92.25322362864092,44.82980696610246,45.05941869284034,13.705973507611233,-6.736660549876895,1.0,1.0,0.13211301006617215,0.940457417943042,True,-1.1005198796082079,1.1,52.145808343329364,0.19424000000000008,True,0.502998800479808,52.13822387711585,84.71611355457821,46.40326091785509,44.892127798617295,46.177169713370496,45.981121836979504,39.15100626416102,3.2109069111099275,46.40322725652758,39.666566706650684,60.10920076413881,1.573453951752632,1.357531466371812,1.4038670246187237,0.0,0.5459452177972898,1.343842225014756,persistent,6.130474476875915,1.0,29.491337091038663,1.0
1.88,43.48260695721713,,8.659241065478573,116.33069160302246,200,True,1.0702837320550602,101.23202945231154,50.384846061575395,50.476761676281896,13.16173396280076,-5.804490658461859,1.0,1.0,0.12034500654274598,0.7566368971667913,True,7.976749006920945,1.1,58.226709316273514,0.19352000000000003,True,0.5124450219912035,59.61308393309344,86.29881380781023,51.87584966013597,49.08129729511917,52.53091404419436,51.58468517354965,44.14900706384115,3.3249685955648083,51.87576214986532,46.07127149140346,65.03749611266608,1.4910035985605756,1.4287934561766105,1.3407589345214295,0.0,0.5514925546460676,1.399087983854077,persistent,6.2429994668799145,1.0,34.79257171171463,1.0
1.9,49.23030787684928,,8.909155385464862,117.0725520989944,200,True,1.0472701057191094,113.00288133337033,55.622584299613514,55.44917033186728,10.483736268693505,-6.69157138602241,1.0,1.0,0.11120267613541805,0.41782599302136797,True,5.990379629815409,1.1,63.474610155937654,0.2059200000000001,True,0.502998800479808,58.88735339197656,93.21271491403442,56.840313874450246,54.68082046658777,57.26558863189828,56.58687001389923,49.73010795681729,3.181433419538052,56.84037852983157,50.14880714380916,67.32411479852507,1.2177295748367318,1.1109740879011678,1.0908446145351383,0.0,0.4370058407810988,1.3911435425829666,persistent,6.320795015327202,1.0,46.67728780044935,1.0
1.75,7.41370118619219,0.3304800000000001,6.2059081129452975,70.79773601394847,200,True,0.6930424783795965,34.649490487283735,16.24495201919233,18.778164527839664,20.096798329309483,-10.023736789976146,0.9948,0.95,0.28571550734160645,3.110244887443819,True,-35.85764498217241,1.1,27.905504464880725,0.0,True,0.5810009329601491,41.13355074636814,64.9740103958417,20.131386334355152,22.357250527769967,15.494524316212283,18.94503627120581,9.829401572704253,4.151343661882502,20.131010547139947,10.107273757163801,40.22780887644943,3.886434315162824,4.80773561792454,3.794091887054702,1.1662001865920297,1.535450135286125,1.3532218065154888,persistent,5.751849260295881,1.0,5.179911635360246,1.0
1.78,16.576702652272427,,6.442013670722187,75.7344582290349,200,True,0.8566757861806636,48.66782514950953,22.880070194144572,25.14487300317969,19.861112493428966,-8.016769687032195,1.0,0.95,0.22899271795141557,1.226357229622404,True,-22.670153092700872,1.1,34.236305477808884,0.0014600000000000168,True,0.5464314274290284,41.38368819139012,71.47141143542586,26.593629214980684,27.842842067332246,23.85228861839258,25.819714971154404,18.409302945488477,3.3066675224265074,26.593439019299293,18.576669332267098,46.45455151272826,3.71355902083611,4.191864115572275,3.557986329277813,1.1662001865920297,1.311226078884036,1.4487562118009936,persistent,6.089747434359589,1.0,7.161224329169781,1.0
1.8,23.823803811808617,,7.596437615430019,85.8840472254215,200,True,0.9908012571389736,59.52441298923036,32.03438624550181,33.07251702493607,15.43816443380208,-8.75599123726284,1.0,0.95,0.1812422778317215,0.4096052952941466,True,-8.650677422595264,1.1,38.567906170865,0.0005399999999999849,True,0.5809676129548179,49.89584999333603,75.96961215513798,34.58175618641433,33.672493809914556,33.362749198858445,33.746310999409765,24.656803945088633,3.4074515452332825,34.581660969370006,25.825669732107166,50.019825403172085,2.5473699409125237,2.8427281711409997,2.403562384569981,0.666400106624017,0.9632681303725008,1.5092391614782659,persistent,6.267676262828202,1.0,13.575474695462141,1.0
1.82,28.48860455817674,,8.069624531139924,89.27642755865698,200,True,0.9922098016952178,72.67027458725006,37.597988582344854,38.23707421793189,13.209108973939621,-8.953514865413531,1.0,0.95,0.16058374559619268,1.9737135918630733,True,-10.663562173812524,1.1,44.39890710382515,0.20738000000000012,True,0.5463981074236972,48.7804711448754,78.38531254165005,39.70690057310411,38.1621496572337,37.864858944659275,38.761676281868226,28.90510462481675,3.624816147655208,39.706713585925336,30.753198720511804,52.91582255986496,2.108911990759252,1.9835531103294362,1.9303754688600747,0.2499000399840064,0.6876908007767198,1.4698263551722164,persistent,6.37628282020525,1.0,18.82814490517485,1.0
1.84,35.98560575769693,,7.959049713447954,96.75643747863084,200,True,1.0308652831021967,75.34293948931695,41.59598382869076,42.2716659367999,13.493732983293448,-7.1143682206694265,1.0,0.95,0.14886499541735365,0.509382500986645,True,-0.3775494922234411,1.1,48.64720778355327,0.21063999999999994,True,0.5809842729574837,56.213968579235,80.96761295481811,43.77306299702343,41.98813709202716,43.28411283133728,43.350750176120044,37.06850593096097,3.185357574462085,43.77297144604595,36.658603225376524,57.2667044293394,2.177079168332667,2.3706577449898147,2.0409502865520457,0.4998000799680128,0.8186074476437349,1.5013970602235296,persistent,6.51627682260429,1.0,20.106325766022117,1.0
1.85,36.48540583766495,,8.31987681118029,99.94698429736815,200,True,1.0409742844962147,83.5335344183711,43.788795592873974,44.10721148048718,14.450280603710794,-6.455090581148603,1.0,0.95,0.14373803070345698,0.5743174596671464,True,1.1514392577955017,1.1,50.97960815673733,0.20892,True,0.5463981074236972,54.61084316273492,83.13341330134617,45.64256519614378,43.71438453879264,45.50555016850303,45.28543820567013,38.06810609089699,3.296288781987332,45.642482291131294,39.18739170998269,60.09276289484209,1.8537696032698034,1.6135837803704451,1.6801231888197103,0.08330001332800213,0.5845650019594588,1.5353537156565942,persistent,6.560572437691588,1.0,24.621487530605133,1.0
1.86,39.73410635745703,,8.313374650139943,101.48890990159519,200,True,1.0443221363638422,83.292510036143,46.53182615842553,46.80996648959465,12.19961431096148,-7.2795717923749805,1.0,0.95,0.1372237061907932,1.1885846885907092,True,1.1547734156889629,1.1,54.64480874316941,0.19408000000000003,True,0.5810009329601493,58.965151439424254,83.88311342129819,48.393026122884194,46.01307180920208,48.05246945349312,47.83201005312162,40.40050646408105,3.581588984766875,48.3929930905224,41.11342129814742,60.59260740148388,1.8611999644586608,1.7977077932991576,1.6866253498600559,0.08330001332800213,0.6943165220842146,1.5830596332895412,persistent,6.640670398507263,1.0,26.00098163603746,1.0
1.88,44.73210715713716,,8.684959349593495,109.98748341001047,200,True,1.0616760474487839,97.3625533073933,51.72472122262209,51.61785206552302,11.913915765308808,-5.366644232914133,1.0,0.95,0.1261694356911265,0.2579269493772664,True,7.115658361648574,1.1,59.22630947620954,0.20545999999999998,True,0.5463981074236972,60.09695288551249,90.38051446088235,53.19871495846108,50.45745482384267,53.56947120276453,53.081453133032525,46.1482073837132,3.137214955464271,53.19869474604223,47.832050513128095,65.11261051135104,1.4739937358389976,1.2288889714522582,1.315040650406504,0.08330001332800213,0.5022729513099401,1.5808628929380628,persistent,6.712051845928295,1.0,36.09154749364576,1.0
1.9,47.980807676929246,,8.707512233201957,114.09760396729295,200,True,1.0311477386716716,98.02268213564328,55.521069350037784,55.42658650825386,12.918441887812435,-6.525808189934267,1.0,0.95,0.11889724413213501,0.6095039634579906,True,0.7213339014487945,1.1,63.30801012928165,0.19146000000000007,True,0.5809842729574837,66.2889136012262,92.2131147540984,56.949636811941915,54.53893894018746,56.23770355875782,56.55186020829766,48.81380781020927,3.4364847391896154,56.9495220377285,50.42371384779423,69.86796392554093,1.428567461904127,1.3919575484031157,1.2924877667980426,0.08330001332800213,0.5364182650875123,1.5230503036880485,persistent,6.771154871384778,1.0,39.86485643188968,1.0
1.75,4.748100759696124,0.29492000000000007,4.704142152662744,66.28709948888026,200,True,0.6607613146255474,36.2064025470983,16.09264072148919,19.766813909356898,20.245413642644635,-11.507435217811198,0.9910857142857142,0.9,0.2998599156021528,4.5136124670683335,True,-42.866090820899814,1.1,30.57110489137679,0.0036200000000000676,True,0.5892809542849528,39.06172530987606,67.72291083566577,21.33574348038563,23.932055518790957,15.813376466948663,19.95554635288742,9.74610155937625,4.939305078126649,21.335254090262218,9.82781887245102,41.58066773290685,5.243102758896442,6.890002742181801,5.295857847337256,1.4994002399040385,2.1822914424397077,1.5689295710287312,persistent,6.397734239637478,0.9919428571428571,4.069297219115926,1.0
1.78,20.90830334532854,,6.895156223224996,76.33905478961293,200,True,0.9822652727616079,47.93809983782029,26.84987116264606,28.469349561762606,18.049431618741238,-6.725963778655373,1.0,0.9,0.21972311473865858,0.5681621391965251,True,-9.24697717636178,1.1,34.90270558443291,0.0019200000000000328,True,0.6277322404371585,47.92048597227777,73.55391176862591,30.092290861433213,29.128887004153224,28.612294139358887,29.469678795148614,22.990803678528593,3.103050127346051,30.092167297247947,23.366203518592574,48.141598915989185,3.2424196987871516,3.7601388365242268,3.104843776775004,1.0829001732640275,1.2457840102488462,1.6229412996706079,persistent,6.6119718779155,1.0,9.280812987722909,1.0
1.8,24.906703985072646,,6.990551398488224,82.06230250607429,200,True,0.9794509321002675,57.94237613397415,31.64916811053358,33.2294788433833,15.564348511941432,-7.876836125314782,1.0,0.9,0.19516772110442313,0.4558297499104098,True,-11.224511421601939,1.1,38.484606157536994,0.0010799999999999699,True,0.6014594162335065,49.35714464214316,75.46981207516995,34.849987782664726,33.56649075356194,32.8767306568907,34.04774280763886,25.906304145008672,3.367306397810082,34.849830260993855,26.972994135679073,50.41417877293529,3.2008196721311473,3.219238456685938,3.009448601511776,0.9163001466080234,1.0615608341739469,1.62050893928143,persistent,6.80159269625483,1.0,10.887832287213268,1.0
